书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
离开的，留下的: 那不勒斯四部曲3,8.9,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00元,2017.0,21610,探索中年的虚无、困惑、野心和近乎残暴的爱,https://book.douban.com/subject/27104959/
叫魂: 1768年中国妖术大恐慌,9.2,[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,2014.0,3909,,https://book.douban.com/subject/25912076/
文学回忆录: 1989—1994,9.1,木心 讲述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,2013.0,7269,木心留给世界的礼物,https://book.douban.com/subject/20440644/
道德经,9.5,黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,1996.0,1291,中国历史上首部完整的哲学著作,https://book.douban.com/subject/1059258/
流俗地,9.2,[马来西亚] 黎紫书 / 北京十月文艺出版社 / 2021-4-1 / 55.00元,2021.0,8887,,https://book.douban.com/subject/35430425/
也许你该找个人聊聊,9.0,[美]洛莉·戈特利布 / 张含笑 / 上海文化出版社 / 2021-7-28 / 68.00元,2021.0,6132,,https://book.douban.com/subject/35481512/
西线无战事,9.4,[德] 埃里希·玛丽亚·雷马克 / 姜乙 / 上海文艺出版社 / 2021-1 / 49,2021.0,4652,,https://book.douban.com/subject/35272817/
明亮的夜晚,9.0,[韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52,2023.0,6531,,https://book.douban.com/subject/36457094/
遥远的向日葵地,9.1,李娟 / 花城出版社 / 2017-11 / 38.00元,2017.0,3983,,https://book.douban.com/subject/27184303/
平面国: 多维空间传奇往事,9.2,[英] 埃德温·A·艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,2020.0,3567,,https://book.douban.com/subject/35170896/
桶川跟踪狂杀人事件,9.0,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,2021.0,5722,,https://book.douban.com/subject/35094680/
